# interpolation 
# x qspline integ deriv
0.557 0.844374 0.538031 -0.776324
0.558 0.843598 0.538922 -0.774363
0.559 0.842825 0.539813 -0.77215
0.56 0.842054 0.540704 -0.769682
0.561 0.841286 0.541595 -0.76696
0.562 0.84052 0.542486 -0.763985
0.563 0.839758 0.543377 -0.760755
0.564 0.838999 0.544268 -0.757272
0.565 0.838244 0.545159 -0.753535
0.566 0.837492 0.54605 -0.749544
0.567 0.836745 0.546941 -0.7453
0.568 0.836001 0.547832 -0.740801
0.569 0.835263 0.548723 -0.736049
0.57 0.834529 0.549614 -0.731042
0.571 0.833801 0.550505 -0.725782
0.572 0.833078 0.551396 -0.720268
0.573 0.832361 0.552287 -0.7145
0.574 0.831649 0.553178 -0.708479
0.575 0.830944 0.554069 -0.702203
0.576 0.830245 0.55496 -0.695674
0.577 0.829552 0.555851 -0.688891
0.578 0.828867 0.556742 -0.681853
0.579 0.828189 0.557633 -0.674562
0.58 0.827518 0.558524 -0.667018
0.581 0.826855 0.559415 -0.659219
0.582 0.8262 0.560306 -0.651167
0.583 0.825553 0.561197 -0.64286
0.584 0.824914 0.562088 -0.6343
0.585 0.824284 0.562979 -0.625486
0.586 0.823663 0.56387 -0.616418
0.587 0.823051 0.564761 -0.607096
0.588 0.822449 0.565652 -0.597521
0.589 0.821856 0.566543 -0.587691
0.59 0.821274 0.567434 -0.577608
0.591 0.820701 0.568325 -0.567271
0.592 0.820139 0.569216 -0.55668
0.593 0.819588 0.570107 -0.545835
0.594 0.819048 0.570998 -0.534736
0.595 0.818519 0.571889 -0.523383
0.596 0.818001 0.57278 -0.511777
0.597 0.817495 0.573671 -0.499917
0.598 0.817001 0.574562 -0.487803
0.599 0.81652 0.575453 -0.475435
0.6 0.81605 0.576344 -0.462813
0.601 0.815594 0.577235 -0.449937
0.602 0.815151 0.578126 -0.436808
0.603 0.814721 0.579017 -0.423424
0.604 0.814304 0.579908 -0.409787
0.605 0.813901 0.580799 -0.395896
0.606 0.813512 0.58169 -0.381751
0.607 0.813138 0.582581 -0.367352
0.608 0.812778 0.583472 -0.3527
0.609 0.812432 0.584363 -0.337793
0.61 0.812102 0.585254 -0.322633
0.611 0.811787 0.586145 -0.307219
0.612 0.811488 0.587036 -0.29155
0.613 0.811204 0.587927 -0.275629
0.614 0.810937 0.588818 -0.259453
0.615 0.810685 0.589709 -0.243023
0.616 0.810451 0.5906 -0.22634
0.617 0.810233 0.591491 -0.209402
0.618 0.810032 0.592382 -0.192211
0.619 0.809848 0.593273 -0.174766
0.62 0.809682 0.594164 -0.157067
0.621 0.809534 0.595055 -0.139115
0.622 0.809404 0.595946 -0.120908
0.623 0.809293 0.596837 -0.102448
0.624 0.8092 0.597728 -0.0837334
0.625 0.809125 0.598619 -0.0647653
0.626 0.80907 0.59951 -0.0455433
0.627 0.809034 0.600401 -0.0260675
0.628 0.809018 0.601292 -0.00633782
0.629 0.809011 0.602127 -0.0168146
0.63 0.808982 0.602936 -0.0412234
0.631 0.808929 0.603745 -0.0653167
0.632 0.808852 0.604554 -0.0890945
0.633 0.808751 0.605363 -0.112557
0.634 0.808627 0.606172 -0.135703
0.635 0.80848 0.606981 -0.158535
0.636 0.80831 0.60779 -0.18105
0.637 0.808118 0.608599 -0.20325
0.638 0.807903 0.609408 -0.225135
0.639 0.807667 0.610217 -0.246704
0.64 0.80741 0.611026 -0.267957
0.641 0.807132 0.611835 -0.288895
0.642 0.806832 0.612644 -0.309518
0.643 0.806513 0.613453 -0.329825
0.644 0.806173 0.614263 -0.349816
0.645 0.805813 0.615072 -0.369492
0.646 0.805434 0.615881 -0.388852
0.647 0.805036 0.61669 -0.407897
0.648 0.804618 0.617499 -0.426626
0.649 0.804182 0.618308 -0.44504
0.65 0.803728 0.619117 -0.463138
0.651 0.803256 0.619926 -0.480921
0.652 0.802767 0.620735 -0.498388
0.653 0.80226 0.621544 -0.51554
0.654 0.801736 0.622353 -0.532376
0.655 0.801195 0.623162 -0.548897
0.656 0.800638 0.623971 -0.565102
0.657 0.800065 0.62478 -0.580991
0.658 0.799476 0.625589 -0.596565
0.659 0.798872 0.626398 -0.611824
0.66 0.798252 0.627207 -0.626767
0.661 0.797618 0.628016 -0.641394
0.662 0.79697 0.628825 -0.655706
0.663 0.796307 0.629634 -0.669702
0.664 0.79563 0.630443 -0.683383
0.665 0.79494 0.631252 -0.696748
0.666 0.794237 0.632061 -0.709798
0.667 0.793521 0.63287 -0.722532
0.668 0.792792 0.633679 -0.734951
0.669 0.792051 0.634488 -0.747054
0.67 0.791298 0.635297 -0.758842
0.671 0.790533 0.636106 -0.770314
0.672 0.789758 0.636915 -0.78147
0.673 0.788971 0.637724 -0.792312
0.674 0.788173 0.638533 -0.802837
0.675 0.787365 0.639342 -0.813047
0.676 0.786547 0.640151 -0.822942
0.677 0.785719 0.64096 -0.83252
0.678 0.784882 0.641769 -0.841784
0.679 0.784036 0.642578 -0.850732
0.68 0.783181 0.643387 -0.859364
0.681 0.782317 0.644196 -0.867681
0.682 0.781446 0.645005 -0.875682
0.683 0.780566 0.645814 -0.883368
0.684 0.779679 0.646623 -0.890738
0.685 0.778785 0.647432 -0.897793
0.686 0.777883 0.648241 -0.904532
0.687 0.776976 0.64905 -0.910956
0.688 0.776062 0.649859 -0.917064
0.689 0.775142 0.650668 -0.922857
0.69 0.774216 0.651477 -0.928334
0.691 0.773285 0.652286 -0.933495
0.692 0.772349 0.653095 -0.938341
0.693 0.771408 0.653904 -0.942872
0.694 0.770463 0.654713 -0.947087
0.695 0.769514 0.655522 -0.950986
0.696 0.768562 0.656331 -0.95457
