# interpolation 
# x linterp qspline cspline
0.471 0.630214 0.617624 0.636656
0.472 0.629768 0.617176 0.63599
0.473 0.629322 0.616727 0.635323
0.474 0.628876 0.616279 0.634656
0.475 0.62843 0.61583 0.633989
0.476 0.627985 0.615382 0.633322
0.477 0.627539 0.614934 0.632655
0.478 0.627093 0.614486 0.631987
0.479 0.626647 0.614038 0.63132
0.48 0.626201 0.61359 0.630652
0.481 0.625756 0.613142 0.629985
0.482 0.62531 0.612695 0.629317
0.483 0.624864 0.612247 0.628649
0.484 0.624418 0.611799 0.627981
0.485 0.623972 0.611352 0.627313
0.486 0.623527 0.610905 0.626645
0.487 0.623081 0.610458 0.625977
0.488 0.622635 0.610011 0.625308
0.489 0.622189 0.609564 0.62464
0.49 0.621743 0.609117 0.623972
0.491 0.621298 0.60867 0.623303
0.492 0.620852 0.608223 0.622635
0.493 0.620406 0.607777 0.621966
0.494 0.61996 0.60733 0.621297
0.495 0.619514 0.606884 0.620629
0.496 0.619069 0.606438 0.61996
0.497 0.618623 0.605992 0.619291
0.498 0.618177 0.605545 0.618623
0.499 0.617731 0.6051 0.617954
0.5 0.617285 0.604654 0.617285
0.501 0.61684 0.604208 0.616617
0.502 0.616394 0.603762 0.615948
0.503 0.615948 0.603317 0.615279
0.504 0.615502 0.602871 0.614611
0.505 0.615056 0.602426 0.613942
0.506 0.61461 0.601981 0.613273
0.507 0.614165 0.601535 0.612605
0.508 0.613719 0.60109 0.611936
0.509 0.613273 0.600645 0.611268
0.51 0.612827 0.600201 0.610599
0.511 0.612381 0.599756 0.609931
0.512 0.611936 0.599311 0.609262
0.513 0.61149 0.598867 0.608594
0.514 0.611044 0.598422 0.607926
0.515 0.610598 0.597978 0.607258
0.516 0.610152 0.597534 0.60659
0.517 0.609707 0.59709 0.605922
0.518 0.609261 0.596646 0.605254
0.519 0.608815 0.596202 0.604586
0.52 0.608369 0.595758 0.603918
0.521 0.607923 0.595314 0.603251
0.522 0.607478 0.59487 0.602583
0.523 0.607032 0.594427 0.601916
0.524 0.606586 0.593983 0.601249
0.525 0.60614 0.59354 0.600582
0.526 0.605694 0.593097 0.599915
0.527 0.605249 0.592654 0.599248
0.528 0.604803 0.592211 0.598581
0.529 0.604357 0.591768 0.597915
0.53 0.603911 0.591325 0.597248
0.531 0.603465 0.590882 0.596582
0.532 0.60302 0.59044 0.595916
0.533 0.602574 0.589997 0.59525
0.534 0.602128 0.589555 0.594584
0.535 0.601682 0.589112 0.593919
0.536 0.601236 0.58867 0.593253
0.537 0.600791 0.588228 0.592588
0.538 0.600345 0.587786 0.591923
0.539 0.599899 0.587344 0.591259
0.54 0.599453 0.586902 0.590594
0.541 0.599007 0.586461 0.58993
0.542 0.598562 0.586019 0.589266
0.543 0.598116 0.585577 0.588602
0.544 0.59767 0.585136 0.587938
0.545 0.597224 0.584695 0.587275
0.546 0.596778 0.584254 0.586612
0.547 0.596332 0.583812 0.585949
0.548 0.595887 0.583371 0.585286
0.549 0.595441 0.582931 0.584624
0.55 0.594995 0.58249 0.583961
0.551 0.594549 0.582049 0.5833
0.552 0.594103 0.581608 0.582638
0.553 0.593658 0.581168 0.581977
0.554 0.593212 0.580728 0.581316
0.555 0.592766 0.580287 0.580655
0.556 0.59232 0.579847 0.579994
0.557 0.591874 0.579407 0.579334
0.558 0.591429 0.578967 0.578674
0.559 0.590983 0.578527 0.578015
0.56 0.590537 0.578087 0.577355
0.561 0.590091 0.577648 0.576697
0.562 0.589645 0.577208 0.576038
0.563 0.5892 0.576768 0.57538
0.564 0.588754 0.576329 0.574722
0.565 0.588308 0.57589 0.574064
0.566 0.587862 0.575451 0.573407
0.567 0.587416 0.575012 0.57275
0.568 0.586971 0.574573 0.572094
0.569 0.586525 0.574134 0.571437
0.57 0.586079 0.573695 0.570782
0.571 0.585633 0.573256 0.570126
0.572 0.585187 0.572818 0.569471
0.573 0.584742 0.572379 0.568817
0.574 0.584296 0.571941 0.568162
0.575 0.58385 0.571503 0.567508
0.576 0.583404 0.571064 0.566855
0.577 0.582958 0.570626 0.566202
0.578 0.582513 0.570188 0.565549
0.579 0.582067 0.56975 0.564897
0.58 0.581621 0.569313 0.564245
0.581 0.581175 0.568875 0.563594
0.582 0.580729 0.568437 0.562943
0.583 0.580284 0.568 0.562292
0.584 0.579838 0.567563 0.561642
0.585 0.579392 0.567125 0.560993
0.586 0.578946 0.566688 0.560344
0.587 0.5785 0.566251 0.559695
0.588 0.578055 0.565814 0.559047
0.589 0.577609 0.565377 0.558399
0.59 0.577163 0.56494 0.557752
0.591 0.576717 0.564504 0.557105
0.592 0.576271 0.564067 0.556459
0.593 0.575825 0.563631 0.555813
0.594 0.57538 0.563194 0.555167
0.595 0.574934 0.562758 0.554523
0.596 0.574488 0.562322 0.553878
0.597 0.574042 0.561886 0.553234
0.598 0.573596 0.56145 0.552591
0.599 0.573151 0.561014 0.551948
0.6 0.572705 0.560578 0.551306
0.601 0.572259 0.560143 0.550665
0.602 0.571813 0.559707 0.550023
0.603 0.571367 0.559272 0.549383
0.604 0.570922 0.558836 0.548743
0.605 0.570476 0.558401 0.548103
0.606 0.57003 0.557966 0.547464
0.607 0.569584 0.557531 0.546826
0.608 0.569138 0.557096 0.546188
0.609 0.568693 0.556661 0.545551
0.61 0.568247 0.556226 0.544914
0.611 0.567801 0.555792 0.544278
0.612 0.567355 0.555357 0.543643
0.613 0.566909 0.554923 0.543008
0.614 0.566464 0.554489 0.542374
0.615 0.566018 0.554054 0.54174
0.616 0.565572 0.55362 0.541107
0.617 0.565126 0.553186 0.540475
0.618 0.56468 0.552752 0.539843
0.619 0.564235 0.552318 0.539212
0.62 0.563789 0.551885 0.538581
0.621 0.563343 0.551451 0.537951
0.622 0.562897 0.551018 0.537322
0.623 0.562451 0.550584 0.536694
0.624 0.562006 0.550151 0.536066
0.625 0.56156 0.549718 0.535438
0.626 0.561114 0.549284 0.534812
0.627 0.560668 0.548851 0.534186
0.628 0.560222 0.548418 0.533561
0.629 0.559777 0.547986 0.532936
0.63 0.559331 0.547553 0.532312
0.631 0.558885 0.54712 0.531689
0.632 0.558439 0.546688 0.531067
0.633 0.557993 0.546255 0.530445
0.634 0.557547 0.545823 0.529824
0.635 0.557102 0.545391 0.529204
0.636 0.556656 0.544959 0.528584
0.637 0.55621 0.544527 0.527965
0.638 0.555764 0.544095 0.527347
0.639 0.555318 0.543663 0.52673
0.64 0.554873 0.543231 0.526113
0.641 0.554427 0.5428 0.525497
0.642 0.553981 0.542368 0.524882
0.643 0.553535 0.541937 0.524267
0.644 0.553089 0.541505 0.523654
0.645 0.552644 0.541074 0.523041
0.646 0.552198 0.540643 0.522429
0.647 0.551752 0.540212 0.521818
0.648 0.551306 0.539781 0.521207
0.649 0.55086 0.53935 0.520597
0.65 0.550415 0.53892 0.519988
0.651 0.549969 0.538489 0.51938
0.652 0.549523 0.538059 0.518773
0.653 0.549077 0.537628 0.518166
0.654 0.548631 0.537198 0.517561
0.655 0.548186 0.536768 0.516956
0.656 0.54774 0.536338 0.516352
0.657 0.547294 0.535908 0.515749
0.658 0.546848 0.535478 0.515146
0.659 0.546402 0.535048 0.514545
0.66 0.545957 0.534618 0.513944
0.661 0.545511 0.534189 0.513344
0.662 0.545065 0.533759 0.512745
0.663 0.544619 0.53333 0.512147
0.664 0.544173 0.532901 0.51155
0.665 0.543728 0.532471 0.510954
0.666 0.543282 0.532042 0.510358
0.667 0.542836 0.531613 0.509764
0.668 0.54239 0.531185 0.50917
0.669 0.541944 0.530756 0.508577
0.67 0.541499 0.530327 0.507986
0.671 0.541053 0.529898 0.507395
0.672 0.540607 0.52947 0.506805
0.673 0.540161 0.529042 0.506215
0.674 0.539715 0.528613 0.505627
0.675 0.539269 0.528185 0.50504
0.676 0.538824 0.527757 0.504454
0.677 0.538378 0.527329 0.503868
0.678 0.537932 0.526901 0.503284
0.679 0.537486 0.526474 0.5027
0.68 0.53704 0.526046 0.502118
0.681 0.536595 0.525618 0.501536
0.682 0.536149 0.525191 0.500956
0.683 0.535703 0.524763 0.500376
0.684 0.535257 0.524336 0.499797
0.685 0.534811 0.523909 0.49922
0.686 0.534366 0.523482 0.498643
0.687 0.53392 0.523055 0.498067
0.688 0.533474 0.522628 0.497493
0.689 0.533028 0.522201 0.496919
0.69 0.532582 0.521775 0.496347
0.691 0.532137 0.521348 0.495775
0.692 0.531691 0.520922 0.495204
0.693 0.531245 0.520495 0.494635
0.694 0.530799 0.520069 0.494066
0.695 0.530353 0.519643 0.493499
0.696 0.529908 0.519217 0.492932
0.697 0.529462 0.518791 0.492367
0.698 0.529016 0.518365 0.491802
0.699 0.52857 0.517939 0.491239
0.7 0.528124 0.517514 0.490677
0.701 0.527679 0.517088 0.490116
0.702 0.527233 0.516663 0.489555
0.703 0.526787 0.516237 0.488996
0.704 0.526341 0.515812 0.488439
0.705 0.525895 0.515387 0.487882
0.706 0.52545 0.514962 0.487326
0.707 0.525004 0.514537 0.486771
0.708 0.524558 0.514112 0.486218
0.709 0.524112 0.513688 0.485665
0.71 0.523666 0.513263 0.485114
0.711 0.523221 0.512838 0.484564
0.712 0.522775 0.512414 0.484015
0.713 0.522329 0.51199 0.483467
0.714 0.521883 0.511565 0.48292
0.715 0.521437 0.511141 0.482374
0.716 0.520991 0.510717 0.48183
0.717 0.520546 0.510293 0.481287
0.718 0.5201 0.509869 0.480744
0.719 0.519654 0.509446 0.480203
0.72 0.519208 0.509022 0.479664
0.721 0.518762 0.508599 0.479125
0.722 0.518317 0.508175 0.478587
0.723 0.517871 0.507752 0.478051
0.724 0.517425 0.507329 0.477516
0.725 0.516979 0.506905 0.476982
0.726 0.516533 0.506482 0.47645
0.727 0.516088 0.50606 0.475918
0.728 0.515642 0.505637 0.475388
0.729 0.515196 0.505214 0.474859
0.73 0.51475 0.504791 0.474331
0.731 0.514304 0.504369 0.473804
