# interpolation 
# x linterp integ
0.611 0.818057 0.572487 
0.612 0.817535 0.573305 
0.613 0.817013 0.574122 
0.614 0.816491 0.574939 
0.615 0.815969 0.575755 
0.616 0.815447 0.576571 
0.617 0.814925 0.577386 
0.618 0.814403 0.578201 
0.619 0.813881 0.579015 
0.62 0.813359 0.579828 
0.621 0.812837 0.580641 
0.622 0.812315 0.581454 
0.623 0.811793 0.582266 
0.624 0.811271 0.583078 
0.625 0.810749 0.583889 
0.626 0.810227 0.584699 
0.627 0.809705 0.585509 
0.628 0.809183 0.586318 
0.629 0.808575 0.587127 
0.63 0.807926 0.587936 
0.631 0.807277 0.588743 
0.632 0.806629 0.58955 
0.633 0.80598 0.590356 
0.634 0.805331 0.591162 
0.635 0.804682 0.591967 
0.636 0.804033 0.592771 
0.637 0.803385 0.593575 
0.638 0.802736 0.594378 
0.639 0.802087 0.595181 
0.64 0.801438 0.595982 
0.641 0.80079 0.596784 
0.642 0.800141 0.597584 
0.643 0.799492 0.598384 
0.644 0.798843 0.599183 
0.645 0.798194 0.599981 
0.646 0.797546 0.600779 
0.647 0.796897 0.601577 
0.648 0.796248 0.602373 
0.649 0.795599 0.603169 
0.65 0.79495 0.603964 
0.651 0.794302 0.604759 
0.652 0.793653 0.605553 
0.653 0.793004 0.606346 
0.654 0.792355 0.607139 
0.655 0.791707 0.607931 
0.656 0.791058 0.608722 
0.657 0.790409 0.609513 
0.658 0.78976 0.610303 
0.659 0.789111 0.611093 
0.66 0.788463 0.611881 
0.661 0.787814 0.61267 
0.662 0.787165 0.613457 
0.663 0.786516 0.614244 
0.664 0.785868 0.61503 
0.665 0.785219 0.615816 
0.666 0.78457 0.616601 
0.667 0.783921 0.617385 
0.668 0.783272 0.618168 
0.669 0.782624 0.618951 
0.67 0.781975 0.619734 
0.671 0.781326 0.620515 
0.672 0.780677 0.621296 
0.673 0.780029 0.622077 
0.674 0.77938 0.622856 
0.675 0.778731 0.623635 
0.676 0.778082 0.624414 
0.677 0.777433 0.625192 
0.678 0.776785 0.625969 
0.679 0.776136 0.626745 
0.68 0.775487 0.627521 
0.681 0.774838 0.628296 
0.682 0.77419 0.629071 
0.683 0.773541 0.629844 
0.684 0.772892 0.630618 
0.685 0.772243 0.63139 
0.686 0.771594 0.632162 
0.687 0.770946 0.632933 
0.688 0.770297 0.633704 
0.689 0.769648 0.634474 
0.69 0.768999 0.635243 
0.691 0.76835 0.636012 
0.692 0.767702 0.63678 
0.693 0.767053 0.637547 
0.694 0.766404 0.638314 
0.695 0.765755 0.63908 
0.696 0.765107 0.639846 
0.697 0.764458 0.64061 
0.698 0.763809 0.641375 
0.699 0.76316 0.642138 
0.7 0.762511 0.642901 
0.701 0.761863 0.643663 
0.702 0.761214 0.644425 
0.703 0.760565 0.645186 
0.704 0.759916 0.645946 
0.705 0.759268 0.646705 
0.706 0.758619 0.647464 
0.707 0.75797 0.648223 
0.708 0.757321 0.64898 
0.709 0.756672 0.649737 
0.71 0.756024 0.650494 
0.711 0.755375 0.651249 
0.712 0.754726 0.652004 
0.713 0.754077 0.652759 
0.714 0.753429 0.653512 
0.715 0.75278 0.654266 
0.716 0.752131 0.655018 
0.717 0.751482 0.65577 
0.718 0.750833 0.656521 
0.719 0.750185 0.657272 
0.72 0.749536 0.658021 
0.721 0.748887 0.658771 
0.722 0.748238 0.659519 
0.723 0.747589 0.660267 
0.724 0.746941 0.661014 
0.725 0.746292 0.661761 
0.726 0.745643 0.662507 
0.727 0.744994 0.663252 
0.728 0.744346 0.663997 
0.729 0.743697 0.664741 
0.73 0.743048 0.665484 
0.731 0.742399 0.666227 
0.732 0.74175 0.666969 
0.733 0.741102 0.667711 
0.734 0.740453 0.668451 
0.735 0.739804 0.669191 
0.736 0.739155 0.669931 
0.737 0.738507 0.67067 
0.738 0.737858 0.671408 
0.739 0.737209 0.672145 
0.74 0.73656 0.672882 
0.741 0.735911 0.673619 
0.742 0.735263 0.674354 
0.743 0.734614 0.675089 
0.744 0.733965 0.675823 
0.745 0.733316 0.676557 
0.746 0.732668 0.67729 
0.747 0.732019 0.678022 
0.748 0.73137 0.678754 
0.749 0.730721 0.679485 
0.75 0.730072 0.680216 
0.751 0.729424 0.680945 
0.752 0.728775 0.681674 
0.753 0.728126 0.682403 
0.754 0.727477 0.683131 
0.755 0.726829 0.683858 
0.756 0.72618 0.684584 
0.757 0.725531 0.68531 
0.758 0.724882 0.686035 
0.759 0.724233 0.68676 
0.76 0.723585 0.687484 
0.761 0.722936 0.688207 
0.762 0.722287 0.68893 
0.763 0.721638 0.689652 
0.764 0.720989 0.690373 
0.765 0.720341 0.691094 
0.766 0.719692 0.691814 
0.767 0.719043 0.692533 
0.768 0.718394 0.693252 
0.769 0.717746 0.69397 
0.77 0.717097 0.694687 
0.771 0.716448 0.695404 
0.772 0.715799 0.69612 
0.773 0.71515 0.696836 
0.774 0.714502 0.69755 
0.775 0.713853 0.698265 
0.776 0.713204 0.698978 
0.777 0.712555 0.699691 
0.778 0.711907 0.700403 
0.779 0.711258 0.701115 
0.78 0.710609 0.701826 
0.781 0.70996 0.702536 
0.782 0.709311 0.703246 
0.783 0.708663 0.703955 
0.784 0.708014 0.704663 
0.785 0.707365 0.705371 
0.786 0.70665 0.706078 
0.787 0.70589 0.706784 
0.788 0.70513 0.707489 
0.789 0.704371 0.708194 
0.79 0.703611 0.708898 
0.791 0.702851 0.709601 
0.792 0.702092 0.710304 
0.793 0.701332 0.711006 
0.794 0.700573 0.711707 
0.795 0.699813 0.712407 
0.796 0.699053 0.713106 
0.797 0.698294 0.713805 
0.798 0.697534 0.714503 
0.799 0.696774 0.7152 
0.8 0.696015 0.715896 
0.801 0.695255 0.716592 
0.802 0.694496 0.717287 
0.803 0.693736 0.717981 
0.804 0.692976 0.718674 
0.805 0.692217 0.719367 
0.806 0.691457 0.720059 
0.807 0.690697 0.72075 
0.808 0.689938 0.72144 
0.809 0.689178 0.72213 
0.81 0.688419 0.722818 
0.811 0.687659 0.723507 
0.812 0.686899 0.724194 
0.813 0.68614 0.72488 
0.814 0.68538 0.725566 
0.815 0.684621 0.726251 
0.816 0.683861 0.726935 
0.817 0.683101 0.727619 
0.818 0.682342 0.728302 
0.819 0.681582 0.728983 
0.82 0.680822 0.729665 
0.821 0.680063 0.730345 
0.822 0.679303 0.731025 
0.823 0.678544 0.731704 
0.824 0.677784 0.732382 
0.825 0.677024 0.733059 
0.826 0.676265 0.733736 
0.827 0.675505 0.734412 
0.828 0.674745 0.735087 
0.829 0.673986 0.735761 
0.83 0.673226 0.736435 
0.831 0.672467 0.737108 
0.832 0.671707 0.73778 
0.833 0.670947 0.738451 
0.834 0.670188 0.739122 
0.835 0.669428 0.739792 
0.836 0.668668 0.740461 
0.837 0.667909 0.741129 
0.838 0.667149 0.741796 
0.839 0.66639 0.742463 
0.84 0.66563 0.743129 
0.841 0.66487 0.743794 
0.842 0.664111 0.744459 
0.843 0.663351 0.745123 
0.844 0.662591 0.745786 
0.845 0.661832 0.746448 
0.846 0.661072 0.747109 
0.847 0.660313 0.74777 
0.848 0.659553 0.74843 
0.849 0.658793 0.749089 
0.85 0.658034 0.749748 
0.851 0.657274 0.750405 
0.852 0.656514 0.751062 
0.853 0.655755 0.751718 
0.854 0.654995 0.752374 
0.855 0.654236 0.753028 
0.856 0.653476 0.753682 
0.857 0.652716 0.754335 
0.858 0.651957 0.754988 
0.859 0.651197 0.755639 
0.86 0.650437 0.75629 
0.861 0.649678 0.75694 
0.862 0.648918 0.757589 
0.863 0.648159 0.758238 
0.864 0.647399 0.758886 
0.865 0.646639 0.759533 
0.866 0.64588 0.760179 
0.867 0.64512 0.760824 
0.868 0.64436 0.761469 
0.869 0.643601 0.762113 
0.87 0.642841 0.762756 
0.871 0.642082 0.763399 
0.872 0.641322 0.76404 
0.873 0.640562 0.764681 
0.874 0.639803 0.765322 
0.875 0.639043 0.765961 
0.876 0.638283 0.7666 
0.877 0.637524 0.767238 
0.878 0.636764 0.767875 
0.879 0.636005 0.768511 
0.88 0.635245 0.769147 
0.881 0.634485 0.769782 
0.882 0.633726 0.770416 
0.883 0.632966 0.771049 
0.884 0.632206 0.771682 
0.885 0.631447 0.772313 
0.886 0.630687 0.772945 
0.887 0.629928 0.773575 
0.888 0.629168 0.774204 
0.889 0.628408 0.774833 
0.89 0.627649 0.775461 
